model,Sharpe,Sortino,MaxDD,% Positive Ret.
ridge_lo_2,0.532,0.648,-0.317,0.637
ridge_lns_2,1.123,1.888,-0.272,0.647
ridge_los_2,1.055,1.88,-0.246,0.637
ridge_mx_2,0.738,1.004,-0.317,0.647
ridge_lo_3,0.509,0.617,-0.252,0.642
ridge_lns_3,0.996,1.711,-0.239,0.614
ridge_los_3,0.908,1.578,-0.241,0.609
ridge_mx_3,0.742,1.047,-0.22,0.651
ridge_lo_4,0.417,0.481,-0.285,0.623
ridge_lns_4,0.896,1.492,-0.243,0.6
ridge_los_4,0.926,1.564,-0.244,0.605
ridge_mx_4,0.693,0.947,-0.253,0.637
mvo_lo,0.45,0.512,-0.4,0.637
spy,0.432,0.509,-0.512,0.651
ew,0.412,0.448,-0.509,0.656
